from you	от тебя
Indeed, he	Поистине, он
and that	и что
that Day	тот День
Indeed, you	Поистине, ты
righteous deeds	праведные дела
with you	с тобой
and He	и Он
whatever	что бы ни
Who	Кто
upon them	на них
then not	то не
say	скажи
but not	но не
and do	и делают
a Messenger	Посланник
(the) punishment	наказание
the righteous	праведные
were	были
the Messenger	Посланник
And what	И что
they see	они видят
Said	Сказал
the Messengers	посланники
water	вода
to Allah	к Аллаху
be	будь
O my people	О народ мой
(is) better	лучше
And they say	И они говорят
came to them	пришло к ним
believers	верующие
And that	И что
Indeed, they	Поистине, они
But	Но
And is	И есть
them	их
So when	И когда
(The) Day	День
All-Powerful	Всемогущий
created	сотворил
some of them	некоторые из них
most of them	большинство из них
to it	к нему
then those	то те
(there is) no	нет
so that they may	чтобы они могли
the Angels	ангелы
you used to	вы обычно
Firaun	Фараон
on them	на них
between	между
to those who	тем, кто
guide	ведут
in truth	в истине
the One Who	Тот, Кто
many	многие
the heaven	небо
All-Knowing	Всезнающий
Ibrahim	Ибрахим
Hell	Ад
We	Мы
the Most Merciful	Милосерднейший
a man	мужчина
comes	приходит
with Him	с Ним
and for them	и для них
truthful	правдивый
you know	вы знаете
the All-Wise	Премудрый
yourselves	сами себя
that they	что они
one	один
the world	мир
And thus	И так
over them	над ними
never	никогда
his people	его народ
So which	Так которую
the Most Gracious	Милостивый
Our Signs	Наши знамения
Him	Его
the Quran	Коран
Then if	Затем если
and Allah	и Аллах
with him	с ним
that not	что не
(the) Day	День
(of the) favors	милостей
will you both deny	неужели вы оба сочтёте ложью
from what	из того, что
the mankind	человечество
denied	отвергли
(the) Lord	Господь
(of) the Fire	Огня
[on]	[на]
(is) with	с
after them	после них
to us	к нам
Whoever	Кто бы ни
(are) in	в
They	Они
into	в
severe	суровый
came	пришёл
Our Verses	Наши знамения
I am	Я есть
they used (to)	они обычно
while you	в то время как ты
[from]	[из]
Did not	Разве не
does	делает
at	у
a warner	увещеватель
things	вещи
the Hour	Час
so they	и они
other than	кроме
knowledge	знание
(are the) companions	обитатели
whoever	кто бы ни
better	лучше
a group	группа
others	другие
and if	и если
for me	для меня
Indeed, I am	Поистине, я
about what	о том, что
(of) Israel	Израиля
And fear	И бойтесь
the sea	море
[what]	[что]
their hands	их руки
evil	зло
they do	они делают
on you	на тебя
love	любят
(is) the All-Mighty	Всемогущий
about it	о нём
anyone	кто-либо
Oft-Forgiving	Всепрощающий
to me	ко мне
(were) before them	были прежде них
(one) who	тот, кто
And say	И скажи
were given	были даны
towards	к
take	берут
(is) this	это
much	много
(of) their Lord	их Господа
they believe	они веруют
and when	и когда
So (do) not	И не
You	Ты
O Musa	О Муса
and said	и сказал
For them	Для них
he	он
follow	следуют
(of) the people	людей
for those who	для тех, кто
soul	душа
lest	чтобы не
His Bounty	Его щедрость
and from	и из
Then will not	Разве не
man	человек
and those	и те
over you	над вами
(of) Maryam	Марьям
(the) companions	обитатели
the knowledge	знание
the All-Mighty	Всемогущий
(is) from	из
These	Эти
return	возвращаются
underneath it	под ним
the polytheists	многобожники
(in) anything	в чём-либо
the evil	зло
Indeed, it	Поистине, это
They will say	Они скажут
the mountains	горы
Gardens	Сады
we	мы
(will) abide forever	пребудут вечно
(of) Firaun	Фараона
Never	Никогда
wherever	где бы ни
and the Day	и День
wills	желает
(of) the Hereafter	Последней жизни
But not	Но не
[in it]	[в нём]
And who	И кто
then only	то лишь
those whom	те, кого
their deeds	их дела
All-Knower	Всезнающий
(There is) no	Нет
most	большинство
and to Him	и к Нему
from Him	от Него
our Lord	Господь наш
(of) the unseen	сокровенного
they did	они делали
(the) end	конец
(are) a people	народ
And (the) Day	И День
the criminals	грешники
from Us	от Нас
In	В
No	Нет
that which	то, что
(will) not	не
before it	прежде него
like	подобно
a sign	знамение
for Him	для Него
a little	немного
and the day	и день
(is he) who	тот, кто
the good-doers	творящие добро
comes to them	приходит к ним
Paradise	Рай
(is) All-Aware	Ведающий
And if not	И если бы не
the one who	тот, кто
(those) who	те, кто
noble	благородный
these	эти
on it	на нём
deny	отвергают
mankind	человечество
flow	текут
of every	из каждого
and did	и делал
Yes	Да
on him	на нём
for Allah	для Аллаха
And to	И к
(is) best	лучший
you fear	вы боитесь
son	сын
their wealth	их богатство
between you	между вами
the day	день
certainly	воистину
are	есть
(will be) in	будут в
our forefathers	наши предки
you used (to)	вы обычно
[and] but	[и] но
by it	посредством него
And those	И те
and give	и давайте
[it]	[это]
We believe	Мы веруем
(to) Allah	к Аллаху
so (do) not	и не
and say	и скажи
Why not	Почему бы не
the Last	Последний
and in	и в
the matter	дело
while he	в то время как он
today	сегодня
Messengers	посланники
even if	даже если
Until	До
a Sign	знамение
(of) Hell	Ада
Yusuf	Юсуф
it is said	говорится
made	сделал
you will be returned	вы будете возвращены
We gave	Мы дали
Be	Будь
His Signs	Его знамения
understand	понимают
punishment	наказание
(is) All-Seer	Всевидящий
(is) for you	для вас
protector	покровитель
And whatever	И что бы ни
a son	сын
has come to you	пришло к вам
a soul	душа
(of) Ibrahim	Ибрахима
surely (are) Signs	воистину знамения
And among	И среди
(is) All-Mighty	Всемогущий
(of) Musa	Мусы
by	посредством
each	каждый
the right	право
Nuh	Нух
the Signs	знамения
(the) Signs	знамения
His slaves	Его рабы
in the Hereafter	в Последней жизни
the All-Knower	Всезнающий
behold	вот
O mankind	О люди
Allah wills	Аллах желает
(the) Children of Israel	сыны Израиля
created you	сотворил вас
wronged	поступили несправедливо
so not	то не
was revealed	было ниспослано
an enemy	враг
(the) People	Люди
And for Allah	И Аллаху
all together	все вместе
believes	верует
that you	что ты
till	до
then (do) not	то не
a term	срок
men	мужчины
dust	прах
the good	добро
[in]	[в]
they are	они есть
another	другой
nation	община
by Allah	клянусь Аллахом
has been revealed	было ниспослано
(is) most knowing	лучше всех знает
error	заблуждение
the jinn	джинны
Perhaps	Может быть
the great	великий
No doubt	Нет сомнения
All-Seer	Всевидящий
no	нет
and establish	и совершайте
The One Who	Тот, Кто
for the disbelievers	для неверующих
(is) All-Knowing	Всезнающий
confirming	подтверждающий
after him	после него
Enter	Войдите
against them	против них
with what	с тем, что
humiliating	унизительный
in them	в них
And from	И из
the religion	религия
he was	он был
straight	прямой
loves	любит
And remember	И помни
Fear	Бойтесь
(is) Hell	Ад
seeking	ища
a thing	вещь
He knows	Он знает
then say	то скажи
So fear	Так бойтесь
(are) disbelievers	неверующие
And how many	И сколько
a reward	награда
but if	но если
knows best	лучше знает
All-Aware	Ведающий
(the) name	имя
and made	и сделал
the truthful	правдивые
a lie	ложь
we were	мы были
(of) the former (people)	прежних поколений
Lord	Господь
and the moon	и луна
earn	приобретают
But those who	Но те, кто
who believe	которые веруют
the creation	творение
In (the) name	Во имя
All praises and thanks	Хвала
of the universe	миров
(The) Master	Властелин
(of the) Judgment	Воздаяния
You Alone	Тебе одному
we worship	мы поклоняемся
and You Alone	и Тебя одного
we ask for help	мы просим о помощи
Guide us	Веди нас
(to) the path	путём
(The) path	путь
You have bestowed (Your) Favors	которых Ты облагодетельствовал
those who earned (Your) wrath	тех, на кого пал гнев
on themselves	на них
(of) those who go astray	заблудших
By the time	Клянусь временем
(is) surely, in	воистину в
loss	убыток
and enjoin (each other)	и заповедали друг другу
to [the] patience	терпению
We have given you	Мы даровали тебе
Al-Kauthar	аль-Каусар (изобилие)
So pray	Так молись
and sacrifice	и приноси жертву
your enemy	твой ненавистник
the one cut off	лишённый потомства
(the) Help	помощь
and the Victory	и победа
entering	входят
(in) multitudes	толпами
Then glorify	Так прославляй
with (the) praises	хвалой
and ask His forgiveness	и проси у Него прощения
Oft-Returning	Принимающий покаяние
the Eternal, the Absolute	Вечный, Самодостаточный
He begets	родил
He is begotten	был рождён
equivalent	равный
I seek refuge	Прибегаю к защите
in (the) Lord	к Господу
(of) the dawn	рассвета
He created	Он сотворил
(of) darkness	мрака
it spreads	наступает
(of) the blowers	дующих
the knots	узлы
(of) an envier	завистника
he envies	он завидует
(The) King	Царь
(of) the whisperer	искусителя
the one who withdraws	отступающего
whispers	наущает
(the) breasts	сердца
